,id,trade_date,payment_date,account,trade_type,asset_id,quantity,price,commission,other_charges,trade_comments
297,372,2021-05-17,,老洪,Trade,ARKG,88.0,75.77,100.0,,
298,373,2021-05-17,,老洪,Trade,ARKF,66.0,46.01,100.0,,
299,374,2021-07-02,,老洪,Trade,0700.HK,1200.0,576.5,3512.47,,
300,375,2021-07-02,,老洪,Trade,3690.HK,400.0,307.2,909.07,,
301,376,2021-07-02,,老洪,Trade,1797.HK,-10500.0,9.17,881.02,,
302,377,2021-07-02,,老洪,Trade,AMZN,12.0,3451.47,310.63,,
303,378,2021-07-02,,老洪,Trade,FB,98.0,355.1,261.0,,
304,379,2021-07-02,,老洪,Trade,MSFT,149.0,272.63,304.66,,
305,380,2021-07-02,,老洪,Trade,AAPL,313.0,137.91,323.74,,
306,381,2021-07-02,,老洪,Trade,KWEB,-931.0,67.47,471.43,,
307,382,2021-07-02,,老洪,Trade,IBUY,-485.0,129.42,471.09,,
308,383,2021-07-02,,老洪,Trade,PDD,147.0,121.31,133.74,,
309,384,2021-05-13,,老洪,Income,AAPL,,,-3750.0,,
310,385,2021-05-19,,老洪,Income,XS1987564660,,,-3750.0,,
311,386,2021-06-07,,老洪,Income,0700.HK,,,-1920.0,,
312,387,2021-06-10,,老洪,Income,MSFT,,,-205.52,,
313,388,2021-06-18,,老洪,Income,XS1987564660,,,-3750.0,,
314,389,2021-07-05,,老洪,Trade,XS2218393317,1.0,250000.0,-0.0,,
315,390,2021-07-15,,老洪,Trade,9988.HK,9800.0,212.2,10558.37,,
316,391,2021-07-15,,老洪,Trade,9618.HK,7000.0,297.4,10569.5,,
317,392,2021-07-19,,老洪,Trade,0700.HK,2400.0,549.0,6689.86,,
318,393,2021-07-23,,老洪,Trade,TAL,-747.0,8.07,100.01,,
319,394,2021-07-20,,老洪,Income,XS1987564660,,,-3750.0,,
320,401,2021-08-13,,ms_terry,Trade,TME,15857.0,18.918,,,
321,418,2021-08-13,,ms_terry,Trade,600900.SS,32400.0,19.5951009259259,,,
322,419,2021-08-13,,ms_terry,Trade,9888.HK,13023.0,179.01,,,
323,420,2021-08-13,,ms_terry,Trade,EWZ,12439.0,41.5111013747086,,,
324,421,2021-08-13,,ms_terry,Trade,SMSN,133.0,1198.22751879699,,,
325,422,2021-08-13,,ms_terry,Trade,600519.SS,900.0,1940.77156666667,,,
326,423,2021-08-12,,IB,Income,AAPL,,,,-675.91,
327,424,2021-08-13,,IB,Trade,0410.HK,60000.0,3.4,434.71,,投机
328,425,2021-07-31,,IB,,OPTION-PUT-T1-USD,,,,-520000.0,七月份sell put 合约的总价值为-52万
329,446,2021-08-13,,ms_terry,Trade,CCY FRWD USD  vs. CNY(OFFSHORE) @ 6.6999 2022/03/24  REF Q79YE6,1000000.0,1.0,,,
330,447,2021-08-13,,ms_terry,Trade,CCY FRWD CNY(OFFSHORE)  vs. USD @ 6.6999 2022/03/24  REF Q79YE6,-6699910.0,1.0,,,
331,465,2021-08-13,,ms_terry,Trade,Q79YE6,1000000.0,1.0,,,
332,466,2021-08-13,,ms_terry,Trade,Q79YE6,-6699910.0,1.0,,,
333,470,2021-08-17,,ms_terry,Trade,XS1627599498,200000.0,99.345835,,,
334,471,2021-08-17,,ms_terry,Trade,AU3CB0253367,300000.0,109.386683333333,,,
335,472,2021-08-17,,ms_terry,Trade,LU0539801802,9986.684,15.1401606379054,,,
336,473,2021-08-17,,ms_terry,Trade,LU0898699433,13489.209,11.2089596951163,,,
337,475,2021-08-16,,ms_terry,Trade,XS2354653458,1.0,300000.0,,,
338,477,2021-08-16,,ms_terry,Trade,XS2288738375,1.0,300000.0,,,
339,478,2021-08-16,,ms_terry,Trade,XS2359586190,1.0,300000.0,,,
340,479,2021-08-16,,ms_terry,Trade,LU2295180033,1.0,300000.0,,,
341,480,2021-08-16,,ms_terry,Trade,XS2313836541,1.0,300000.0,,,
342,481,2021-08-16,,ms_terry,Trade,XS2313823994,1.0,300000.0,,,
343,482,2021-08-16,,ms_terry,Trade,XS2297748753,1.0,300000.0,,,
344,483,2021-08-16,,ms_terry,Trade,XS2294208363,1.0,300000.0,,,
345,484,2021-08-16,,ms_terry,Trade,XS2218322217,1.0,400000.0,,,
346,485,2021-08-16,,ms_terry,Trade,Q79YE6,1000000.0,1.0,,,
347,486,2021-08-16,,ms_terry,Trade,Q79YE6,-6699910.0,1.0,,,
348,487,2021-08-17,,ms_terry,Trade,LU0236503040,1770.0,284.870881355932,,,
349,488,2021-08-17,,ms_terry,Trade,XS1580431143,200000.0,79.894165,,,
350,523,2021-03-22,,ms_terry,Trade,Q79YE6-USD,1.0,1000000.0,,,
351,524,2021-03-22,,ms_terry,Trade,Q79YE6-CNY,1.0,-6699910.0,,,
352,530,2021-08-18,,ms_terry,Trade,XS2279291384,1.0,300000.0,,,
